timestamp,test-class,test-method,time,description,result
2021-05-30 20:50:51.464,acme.testing.manager.DeleteTaskManagerTest,negativeUpdate,30769,"[1] title=Title of task 01, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",Cannot find 'By.className: text-danger'
2021-05-30 20:50:57.981,acme.testing.manager.DeleteTaskManagerTest,positiveDeleteTaskManager,6183,"[1] title=Updated title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 20:51:11.661,acme.testing.manager.ListTasksManagerTest,positiveListTasks,2684,"[1] title=Title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 20:51:14.553,acme.testing.manager.ListTasksManagerTest,positiveListTasks,2608,"[2] title=Title of task 02, executionPeriodInit=2023/05/21 19:39, executionPeriodEnd=2023/05/21 19:39, description=Description of task 02, optionalLink=https://www.google.com, iter=1",OK
2021-05-30 20:51:17.531,acme.testing.manager.ListTasksManagerTest,positiveListTasks,2692,"[3] title=Title of task 03, executionPeriodInit=2023/05/10 23:30, executionPeriodEnd=2023/05/11 23:30, description=Description of task 03, optionalLink=https://www.google.com, iter=2",OK
2021-05-30 20:51:20.367,acme.testing.manager.ListTasksManagerTest,positiveListTasks,2571,"[4] title=Title of task 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of task 04, optionalLink=https://www.google.com, iter=3",OK
2021-05-30 20:51:31.629,acme.testing.manager.ShowTasksManagerTest,positiveShowTask,2931,"[1] title=Title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 20:51:35.031,acme.testing.manager.ShowTasksManagerTest,positiveShowTask,3099,"[2] title=Title of task 02, executionPeriodInit=2023/05/21 19:39, executionPeriodEnd=2023/05/21 19:39, description=Description of task 02, optionalLink=https://www.google.com, iter=1",OK
2021-05-30 20:51:38.23,acme.testing.manager.ShowTasksManagerTest,positiveShowTask,2923,"[3] title=Title of task 03, executionPeriodInit=2023/05/10 23:30, executionPeriodEnd=2023/05/11 23:30, description=Description of task 03, optionalLink=https://www.google.com, iter=2",OK
2021-05-30 20:51:41.321,acme.testing.manager.ShowTasksManagerTest,positiveShowTask,2846,"[4] title=Title of task 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of task 04, optionalLink=https://www.google.com, iter=3",OK
