timestamp,test-class,test-method,time,description,result
2021-05-30 22:02:17.206,acme.testing.manager.DeleteTaskManagerTest,negativeUpdate,45925,"[1] title=Title of task 01, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",Cannot find 'By.className: text-danger'
2021-05-30 22:03:00.582,acme.testing.manager.DeleteTaskManagerTest,positiveDeleteTaskManager,33025,"[1] title=Updated title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 22:04:20.104,acme.testing.manager.ListTasksManagerTest,positiveListTasks,28929,"[1] title=Title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 22:05:00.397,acme.testing.manager.ListTasksManagerTest,positiveListTasks,31997,"[2] title=Title of task 02, executionPeriodInit=2023/05/21 19:39, executionPeriodEnd=2023/05/21 19:39, description=Description of task 02, optionalLink=https://www.google.com, iter=1",OK
2021-05-30 22:05:37.642,acme.testing.manager.ListTasksManagerTest,positiveListTasks,34930,"[3] title=Title of task 03, executionPeriodInit=2023/05/10 23:30, executionPeriodEnd=2023/05/11 23:30, description=Description of task 03, optionalLink=https://www.google.com, iter=2",OK
2021-05-30 22:06:19.806,acme.testing.manager.ListTasksManagerTest,positiveListTasks,38857,"[4] title=Title of task 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of task 04, optionalLink=https://www.google.com, iter=3",OK
2021-05-30 22:07:36.638,acme.testing.manager.ShowTasksManagerTest,positiveShowTask,29188,"[1] title=Title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 22:08:07.122,acme.testing.manager.ShowTasksManagerTest,positiveShowTask,25151,"[2] title=Title of task 02, executionPeriodInit=2023/05/21 19:39, executionPeriodEnd=2023/05/21 19:39, description=Description of task 02, optionalLink=https://www.google.com, iter=1",OK
2021-05-30 22:08:42.55,acme.testing.manager.ShowTasksManagerTest,positiveShowTask,28133,"[3] title=Title of task 03, executionPeriodInit=2023/05/10 23:30, executionPeriodEnd=2023/05/11 23:30, description=Description of task 03, optionalLink=https://www.google.com, iter=2",OK
2021-05-30 22:09:20.936,acme.testing.manager.ShowTasksManagerTest,positiveShowTask,33068,"[4] title=Title of task 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of task 04, optionalLink=https://www.google.com, iter=3",OK
2021-05-30 22:10:41.466,acme.testing.manager.CreateTasksManagerTest,positiveCreateTasks,34068,"[1] title=Title of task 05, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/06/11 19:39, description=Description of task 05, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 22:11:17.863,acme.testing.manager.CreateTasksManagerTest,negativeCreateTasks,29083,"[1] title=Title of task 06, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2020/06/11 19:39, description=Description of task 06, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 22:13:00.038,acme.testing.manager.UpdateTaskManagerTest,negativeUpdate,42620,"[1] title=Title of task 01, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 22:14:02.292,acme.testing.manager.UpdateTaskManagerTest,positiveUpdateTaskManager,52904,"[1] title=Updated title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 22:15:33.444,acme.testing.anonymous.ListTasksTest,positiveListTasks,33078,"[1] title=Title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 22:16:16.765,acme.testing.anonymous.ListTasksTest,positiveListTasks,36976,"[2] title=Title of task 02, executionPeriodInit=2023/05/21 19:39, executionPeriodEnd=2023/05/21 19:39, description=Description of task 02, optionalLink=https://www.google.com, iter=1",OK
2021-05-30 22:17:44.057,acme.testing.anonymous.ListShoutTest,positiveListShout,32633,"[1] recordIndex=0, moment=2021/05/19 19:39, author=John Doe, text=I'm happy!",OK
2021-05-30 22:18:14.065,acme.testing.anonymous.ListShoutTest,positiveListShout,26690,"[2] recordIndex=1, moment=2021/05/19 15:55, author=Jane Doe, text=I'm the master of my room!",OK
2021-05-30 22:19:30.24,acme.testing.anonymous.ShowTasksTest,positiveShowTask,27126,"[1] title=Title of task 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of task 01, optionalLink=https://www.google.com, iter=0",OK
2021-05-30 22:20:45.784,acme.testing.anonymous.PublishShoutTest,positivePublishShout,18451,"[1] author=Antonio, text=Me gusta la cocacola, info=https://www.cocacola.es/es/home/",OK
2021-05-30 22:21:09.412,acme.testing.anonymous.PublishShoutTest,negativePublishShout,19295,"[1] author=, text=Me gusta la cocacola, info=https://www.cocacola.es/es/home/",OK
2021-05-30 22:22:13.16,acme.testing.administrator.DashBoardTest,assertInitialConditions,19890,"assertInitialConditions()",expected: <0> but was: <4>
2021-05-30 22:22:49.101,acme.testing.administrator.DashBoardTest,positiveDashBoardList,28611,"[1] totalNumberOfPublicTasks=4, totalNumberOfPrivateTasks=0, totalNumberOfFinishedTasks=1, totalNumberOfNonFinishedTasks=3, AverageTaskExecutionPeriods=0.50, DeviationTaskExecutionPeriods=0.50, MinimumTaskExecutionPeriods=0.00, MaximumTaskExecutionPeriods=1.00, MaximumTaskWorkloads=12.00, MinimumTaskWorkload=12.00, DeviationTaskWorkloads=24.00, AverageTaskWorkloads=0.00",OK
2021-05-30 22:23:00.99,acme.testing.administrator.DashBoardTest,assertDashboardForAnonymousIsForbidden,6557,"assertDashboardForAnonymousIsForbidden()",OK
2021-05-30 22:23:51.427,acme.testing.administrator.DashBoardTest,assertDashboardForAuthenticatedIsForbidden,45131,"assertDashboardForAuthenticatedIsForbidden()",OK
